ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
145,Fakulteta za arhitekturo,Zoisova cesta 12,Ljubljana,1000,Arhitektura,DR
146,Fakulteta za arhitekturo,Zoisova cesta 12,Ljubljana,1000,Urbanizem,MAG
147,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Družboslovna informatika,UNI
148,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Komunikologija - medijske in komunikacijske študije,UNI
149,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Komunikologija - tržno komuniciranje in odnosi z javnostmi,UNI
150,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Kulturologija,UNI
151,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Mednarodni odnosi,UNI
152,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Novinarstvo,UNI
153,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Obramboslovje,UNI
154,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija - javne politike in uprava,UNI
155,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija - študije politike in države,UNI
156,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Sociologija,UNI
157,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Sociologija - kadrovski menedžment,UNI
158,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Družboslovna informatika,MAG
159,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Evropske študije,MAG
160,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Humanistika in družboslovje,DR
161,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Komunikologija,MAG
162,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Kulturologija – kulturne in religijske študije,MAG
163,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Mednarodni odnosi,MAG
164,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Novinarske študije,MAG
165,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Obramboslovje,MAG
166,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija – analiza politik in javna uprava,MAG
167,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija – politièna teorija,MAG
168,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Sociologija,MAG
169,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,"Sociologija - upravljanje organizacij, èloveških virov in znanja",MAG
170,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Statistika,DR
171,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Strateško tržno komuniciranje,MAG
